X,Y,Z,u,v,w
0.0,0.0,0.0,-0.23231959342956543,1.5539730787277222,0.0
99.2514325294178,0.0,0.0,-0.23520813882350922,1.555324673652649,0.0
198.5028650588356,0.0,0.0,-0.2380969226360321,1.556674838066101,0.0
297.7542975882534,0.0,0.0,-0.2409859448671341,1.558023452758789,0.0
397.0057301176712,0.0,0.0,-0.24387522041797638,1.559370517730713,0.0
496.257162647089,0.0,0.0,-0.24676471948623657,1.560716152191162,0.0
595.5085951765068,0.0,0.0,-0.24965447187423706,1.5620603561401367,0.0
694.7600277059246,0.0,0.0,-0.25254446268081665,1.5634028911590576,0.0
794.0114602353424,0.0,0.0,-0.25543469190597534,1.5647441148757935,0.0
893.2628927647602,0.0,0.0,-0.25832515954971313,1.5660836696624756,0.0
992.514325294178,0.0,0.0,-0.26121580600738525,1.5674221515655518,0.0
1091.7657578235958,0.0,0.0,-0.26410508155822754,1.5687713623046875,0.0
1191.0171903530136,0.0,0.0,-0.26699286699295044,1.5701318979263306,0.0
1290.2686228824314,0.0,0.0,-0.2698799967765808,1.5714975595474243,0.0
1389.5200554118492,0.0,0.0,-0.2727673053741455,1.5728622674942017,0.0
1488.771487941267,0.0,0.0,-0.2756556570529938,1.5742195844650269,0.0
1588.0229204706848,0.0,0.0,-0.2785458564758301,1.5755633115768433,0.0
1687.2743530001026,0.0,0.0,-0.2814387381076813,1.5768872499465942,0.0
1786.5257855295204,0.0,0.0,-0.2843351662158966,1.5781852006912231,0.0
1885.7772180589382,0.0,0.0,-0.28723594546318054,1.5794507265090942,0.0
1985.028650588356,0.0,0.0,-0.2901410758495331,1.580687403678894,0.0
2084.2800831177738,0.0,0.0,-0.29304370284080505,1.5819705724716187,0.0
2183.5315156471916,0.0,0.0,-0.2959443926811218,1.5832926034927368,0.0
2282.7829481766094,0.0,0.0,-0.2988457679748535,1.5846227407455444,0.0
2382.034380706027,0.0,0.0,-0.3017505407333374,1.5859301090240479,0.0
2481.285813235445,0.0,0.0,-0.3046613037586212,1.5871838331222534,0.0
2580.5372457648627,0.0,0.0,-0.30758070945739746,1.5883532762527466,0.0
2679.7886782942805,0.0,0.0,-0.31051141023635864,1.5894075632095337,0.0
2779.0401108236983,0.0,0.0,-0.31345608830451965,1.590315818786621,0.0
2878.291543353116,0.0,0.0,-0.3164173364639282,1.5910471677780151,0.0
2977.542975882534,0.0,0.0,-0.3193982243537903,1.5915981531143188,0.0
3076.7944084119517,0.0,0.0,-0.32240045070648193,1.592068076133728,0.0
3176.0458409413695,0.0,0.0,-0.3254207670688629,1.5924800634384155,0.0
3275.2972734707873,0.0,0.0,-0.3284555673599243,1.5928459167480469,0.0
3374.548706000205,0.0,0.0,-0.331501305103302,1.5931776762008667,0.0
3473.800138529623,0.0,0.0,-0.33455437421798706,1.5934875011444092,0.0
3573.0515710590407,0.0,0.0,-0.33761119842529297,1.5937873125076294,0.0
3672.3030035884585,0.0,0.0,-0.3406682312488556,1.594089150428772,0.0
3771.5544361178763,0.0,0.0,-0.343721866607666,1.594404935836792,0.0
3870.805868647294,0.0,0.0,-0.34676849842071533,1.5947468280792236,0.0
3970.057301176712,0.0,0.0,-0.34980863332748413,1.5951132774353027,0.0
4069.3087337061297,0.0,0.0,-0.35284897685050964,1.5954816341400146,0.0
4168.5601662355475,0.0,0.0,-0.3558897078037262,1.5958513021469116,0.0
4267.811598764965,0.0,0.0,-0.35893088579177856,1.596222162246704,0.0
4367.063031294383,0.0,0.0,-0.36197248101234436,1.5965943336486816,0.0
4466.314463823801,0.0,0.0,-0.3650144934654236,1.5969676971435547,0.0
4565.565896353219,0.0,0.0,-0.3680569529533386,1.5973423719406128,0.0
4664.8173288826365,0.0,0.0,-0.3710997998714447,1.5977182388305664,0.0
4764.068761412054,0.0,0.0,-0.3741430938243866,1.5980952978134155,0.0
4863.320193941472,0.0,0.0,-0.3771868050098419,1.5984735488891602,0.0
0.0,114.48647416336462,0.0,-0.22909140586853027,1.5555379390716553,0.0
99.2514325294178,114.48647416336462,0.0,-0.2319866418838501,1.556863784790039,0.0
198.5028650588356,114.48647416336462,0.0,-0.2348821461200714,1.5581881999969482,0.0
297.7542975882534,114.48647416336462,0.0,-0.2377779185771942,1.5595111846923828,0.0
397.0057301176712,114.48647416336462,0.0,-0.2406739443540573,1.5608326196670532,0.0
496.257162647089,114.48647416336462,0.0,-0.2435702383518219,1.562152624130249,0.0
595.5085951765068,114.48647416336462,0.0,-0.24646678566932678,1.5634710788726807,0.0
694.7600277059246,114.48647416336462,0.0,-0.24936360120773315,1.5647881031036377,0.0
794.0114602353424,114.48647416336462,0.0,-0.252260684967041,1.5661035776138306,0.0
893.2628927647602,114.48647416336462,0.0,-0.25515803694725037,1.5674176216125488,0.0
992.514325294178,114.48647416336462,0.0,-0.25805556774139404,1.5687305927276611,0.0
1091.7657578235958,114.48647416336462,0.0,-0.26095181703567505,1.5700534582138062,0.0
1191.0171903530136,114.48647416336462,0.0,-0.26384666562080383,1.5713871717453003,0.0
1290.2686228824314,114.48647416336462,0.0,-0.2667408883571625,1.5727256536483765,0.0
1389.5200554118492,114.48647416336462,0.0,-0.2696353495121002,1.5740631818771362,0.0
1488.771487941267,114.48647416336462,0.0,-0.27253079414367676,1.575393557548523,0.0
1588.0229204706848,114.48647416336462,0.0,-0.27542808651924133,1.5767111778259277,0.0
1687.2743530001026,114.48647416336462,0.0,-0.278328001499176,1.578009843826294,0.0
1786.5257855295204,114.48647416336462,0.0,-0.2812313735485077,1.5792837142944336,0.0
